reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,sortOrder,appId
b6f399df-12de-4fdb-a4f6-13401da11d40,Guddi Kumari,https://play-lh.googleusercontent.com/a/AATXAJyBS3VM4Zhg-SFKAitOCJ8rQGD4N4tSjgctY2Qq=mo,Nitish kumar,1,0,,2022-06-22 04:39:42,,,newest,com.facebook.lite
0771c95e-604a-4152-aed7-a17e7b116a53,Shaneann Opada,https://play-lh.googleusercontent.com/a-/AOh14GjDugCLsjeyQ7L5GNf_h8Tz0m7F1t9DlYt3hZjb,I hate Facebook Lite But Not Create New Account 😠,1,0,,2022-06-22 04:23:36,,,newest,com.facebook.lite
91fece6a-5b33-46cb-8148-4a768867e0f9,Ali Arafat,https://play-lh.googleusercontent.com/a-/AOh14Gj9xwlUjZUaCkItx1jzoIa-fbJ51uUpcCQMxdE9,Nice Good,1,0,,2022-06-22 04:18:09,,,newest,com.facebook.lite
d31af61d-4bc4-4f41-8a6f-99534331d829,CH VG,https://play-lh.googleusercontent.com/a-/AOh14GgXYRrkAOONC7HNU5sywfNG5QzIHbMwkaq44ky8OA,Why data safety is not available?,1,0,,2022-06-22 04:15:10,,,newest,com.facebook.lite
9eda463b-d8c2-42f1-824f-5400583d7e33,Abdul Hasem,https://play-lh.googleusercontent.com/a/AATXAJwdIZMkAnsEEn9S-1Y1SOMdCTrYxEsYMqsgysiA=mo,Ry,1,0,,2022-06-22 04:12:49,,,newest,com.facebook.lite
f8331b56-08c0-4e4f-92fa-6fcc3af71a71,Jitu kumar Jitu,https://play-lh.googleusercontent.com/a-/AOh14GgQWYDvumg4yFQyxstCWPrJJ1wFL5SIol7qCQmp,JITUKUMAR,1,0,,2022-06-22 04:06:18,,,newest,com.facebook.lite
209ea00d-98a6-468f-a84a-12eb08824f09,Sabin Lama,https://play-lh.googleusercontent.com/a-/AOh14GgT80Ry10jD40qWYdrhYdeWQ3J1Bw2Ls6FWzaD9,Good,1,0,308.0.0.10.108,2022-06-22 03:56:11,,,newest,com.facebook.lite
3c7d17d0-9555-457f-9584-46fe85773dfd,manisha mon,https://play-lh.googleusercontent.com/a/AATXAJy2PjbYnCWC7lvikUxnT0rJJkDXUQ0rSBGjfGzudQ=mo,Now did not open this app.,1,0,307.0.0.9.109,2022-06-22 03:55:21,,,newest,com.facebook.lite
b6178fb3-c90a-4f77-b701-09bd400c18b7,James Liwanag,https://play-lh.googleusercontent.com/a/AATXAJzfKfFkdfHnzujNDKVFSyHdrdm7sgEM5_YnE5HN=mo,Please fix your application. I cannot open the application smoothly. I still have to turn off my Wi-Fi and turn it on again or turn the mobile data instead. It keeps on not loading,1,0,308.0.0.10.108,2022-06-22 03:46:35,,,newest,com.facebook.lite
b67bab3f-0bb0-40bc-b2d3-0c7d01bfa71c,Ashu Ail,https://play-lh.googleusercontent.com/a/AATXAJxTIoCk0hCReKJXu92-3BX6Y6czYXep4npFTnWW=mo,ashu.ail,1,0,294.0.0.12.118,2022-06-22 03:25:20,,,newest,com.facebook.lite
c4c33aae-6a53-4fe9-812e-16a4fc4725de,Khujui,https://play-lh.googleusercontent.com/a/AATXAJwFdEHamGbJEdP28lUvz9RRTpJTdfwAi3iserAO=mo,Pojjh,1,0,,2022-06-22 03:22:27,,,newest,com.facebook.lite
93ca22df-8229-4995-8bdf-ab8af2919dda,Mark Desantos,https://play-lh.googleusercontent.com/a/AATXAJx7_MxUFwsC9ML-yNAIpsC_gkxgY__zzso7sRk=mo,yn,1,0,307.0.0.9.109,2022-06-22 02:56:37,,,newest,com.facebook.lite
9264408f-2948-4efa-9380-9919d5864c78,Susma Dhakal,https://play-lh.googleusercontent.com/a/AATXAJwBzomC73waFLMr3hr46UsVXehokTUbHOqzFffh=mo,Whenever I try to open Facebook lite message directly it show messenger lite please fix tw problem,1,0,308.0.0.10.108,2022-06-22 02:41:49,,,newest,com.facebook.lite
ec9208f5-3842-49b7-a492-75e0255df5d1,gomar piedad,https://play-lh.googleusercontent.com/a/AATXAJyYukHHfweLfDF8pab1kCM70LQh1Ao_CI9AaQe1=mo,Ok,1,0,308.0.0.10.108,2022-06-22 02:29:47,,,newest,com.facebook.lite
1018024a-600e-4553-98d2-e9cc2a41c3f6,suaib mondol,https://play-lh.googleusercontent.com/a/AATXAJyx1t0vNIrWcrFGmF5_0xPue3MylAg6nb1041V4=mo,Rafin islam,1,0,305.0.0.12.106,2022-06-22 02:27:59,,,newest,com.facebook.lite
82e3d78b-0a57-432a-b296-1e766088fb25,Nabi Khan,https://play-lh.googleusercontent.com/a/AATXAJyya1RRz4frkwASVWD19SFO9eQ1qyiaFom4Hswz=mo,Sahil.khan,1,0,306.0.0.13.107,2022-06-22 02:27:15,,,newest,com.facebook.lite
43305632-c52a-4b13-85a1-51cc4dd1ee7e,Shadab Ali,https://play-lh.googleusercontent.com/a-/AOh14Ghw1pCGv9I5q-PRhkfJcQFbzGHXf2ibAe_oHOFmMA,💟,1,0,,2022-06-22 01:57:47,,,newest,com.facebook.lite
ca5b5686-456c-42c9-b823-26a279c5a263,Tayyab Ali,https://play-lh.googleusercontent.com/a/AATXAJyWcUAN6Ni1cYMO4gmeaYEpILtjCOR95ViSvyFf=mo,RANA TAIMOOR RAJPOOT,1,0,305.0.0.12.106,2022-06-22 01:56:32,,,newest,com.facebook.lite
3080f492-7d9a-4a70-82b7-371e60e0a742,Haseeb,https://play-lh.googleusercontent.com/a/AATXAJw2Pw2-oVfw-y0JiKJtL9_WM9R3DeTw4LKKG7UdDA=mo,why there's no restrict option in lite version?,1,1,308.0.0.10.108,2022-06-22 01:04:13,,,newest,com.facebook.lite
61b998ad-9d93-4cde-90f1-e6ec431e1782,Andrie Dairo,https://play-lh.googleusercontent.com/a/AATXAJyKgjvEGN-esQeqYE_MCHFL8OkoQ651ej6yiBen=mo,What happened 3 days shutdown my fb lite app doesn't want to load yet,1,0,308.0.0.10.108,2022-06-22 00:22:39,,,newest,com.facebook.lite
53bd38b9-8782-4d38-a3e5-4a9f0dfd1162,Kgomotso Modiba86k,https://play-lh.googleusercontent.com/a/AATXAJzmg0pIu3mYTz3BTkEE9N8hk07xmdIDQsqvb3yY=mo,Okay 👍🆗🆗,1,0,300.0.0.7.111,2022-06-22 00:05:11,,,newest,com.facebook.lite
0ff77cac-a760-4786-92e3-a1b2c0c35a98,J. Rodrigues,https://play-lh.googleusercontent.com/a-/AOh14Gh2rQb-cLnxlVjSKPGNAxtKJ3Lyog96-Iz8BFClim8,"Je n'ai même pas réussi à me connecter à mon compte : la pseudo confirmation d'identité ne marche pas, la récupération de mot de passe non plus. C'est ridicule.",1,0,,2022-06-21 23:51:06,,,newest,com.facebook.lite
0feedfee-31d8-4df6-8c2e-8578cb901844,suraj kanojiya,https://play-lh.googleusercontent.com/a-/AOh14GjW7qfPJfRZ6PVfW_B6CokNEKGcGyWg-JSfD1SmLw,My account was hacked by someone and Facebook disabled my account I want my data back Please enable my account,1,0,307.0.0.9.109,2022-06-21 23:08:04,,,newest,com.facebook.lite
cd1a1a3b-3212-41f2-ad01-a35a2d79a610,Average Tiripano Mukozho,https://play-lh.googleusercontent.com/a-/AOh14GigrSCoP5DJk52jIlmfLO-LrSfoHGoVZZcv1L1s,Always good,1,0,307.0.0.9.109,2022-06-21 23:02:50,,,newest,com.facebook.lite
f93915c8-fe1a-4ddd-9310-116bf3e64be8,ambia munna,https://play-lh.googleusercontent.com/a/AATXAJxOVRUO7xGjV3iBWdwSA97J-tN6FDrgiRX9xSJW=mo,সো,1,0,,2022-06-21 21:59:38,,,newest,com.facebook.lite
