neg,neu,pos,compound
0.0,0.547,0.453,0.7003
0.0,0.528,0.472,0.9349
0.0,0.302,0.698,0.931
0.0,0.0,1.0,0.6249
0.0,0.63,0.37,0.875
0.146,0.638,0.216,0.1082
0.0,0.256,0.744,0.4404
0.0,0.61,0.39,0.9595
0.0,0.382,0.618,0.8442
0.0,0.196,0.804,0.6249
0.0,1.0,0.0,0.0
